T,rep,alpha_true,beta_true,alpha_hat,beta_hat
200,2,0.2,1.0,0.219653706,1.3650383980649998
200,0,0.2,3.0,0.23536043611500002,2.4443723213000004
200,1,0.2,3.0,0.226692372115,2.7021071330499997
200,2,0.2,3.0,0.152569572595,3.47840955545
200,0,0.2,6.0,0.20578139272999998,4.1899682007
200,1,0.2,6.0,0.21319010551,4.978823323149999
200,2,0.2,6.0,0.20772220584499998,4.84248121285
200,0,0.5,1.0,0.5648996925149999,1.17192807879
200,1,0.5,1.0,0.398588777735,1.30861174948
200,2,0.5,1.0,0.447778205625,0.917821075205
200,0,0.5,3.0,0.47756858231,2.46439988165
200,1,0.5,3.0,0.458168096365,2.4781702806999997
200,2,0.5,3.0,0.5401060371949999,3.35686478255
200,0,0.5,6.0,0.6289085717499999,3.3150101939
200,1,0.5,6.0,0.558135254005,7.83757262275
200,2,0.5,6.0,0.48391249713,10.2788693764
200,0,0.8,1.0,0.7608820728149999,0.8682008908549999
200,1,0.8,1.0,0.78305208488,0.9862674630599999
200,2,0.8,1.0,0.6974571996150001,1.116794345515
200,0,0.8,3.0,0.6953888497549999,4.30297510255
200,1,0.8,3.0,0.7466091940799999,4.3550009847
200,2,0.8,3.0,0.8627396732,2.9831755594000002
200,0,0.8,6.0,0.787722461295,7.13213691115
200,1,0.8,6.0,0.78196146215,7.2361300443
200,2,0.8,6.0,0.7797811925499999,7.3329053127499995
400,0,0.2,1.0,0.22064566796350002,1.057373247495
400,1,0.2,1.0,0.19968150832700002,1.0362992274799998
400,2,0.2,1.0,0.287038982435,0.9059520854900001
400,0,0.2,3.0,0.22431845584500001,2.8821140143000004
400,1,0.2,3.0,0.233182687555,2.75987169595
400,2,0.2,3.0,0.19168366274499998,2.9006670261
400,0,0.2,6.0,0.22005633831500002,5.54336223425
400,1,0.2,6.0,0.21530337118,4.8370665354
400,2,0.2,6.0,0.20329411405,6.723027182449999
400,0,0.5,1.0,0.6318024899,0.86456852954
400,1,0.5,1.0,0.45644727663,1.1315693443350001
400,2,0.5,1.0,0.47875212265,1.03541435829
400,0,0.5,3.0,0.51614897575,2.4773418869999997
400,1,0.5,3.0,0.51085384936,2.9542569553
400,2,0.5,3.0,0.538246119515,3.9946616048
400,0,0.5,6.0,0.516874881085,6.500128869649999
400,1,0.5,6.0,0.5180264151250001,5.2559452934
400,2,0.5,6.0,0.48743308831,7.7418253232
400,0,0.8,1.0,0.758759854835,1.0646805395499999
400,1,0.8,1.0,0.8150081374449999,0.9737818714400001
400,2,0.8,1.0,0.7247419873750001,1.0213560421849999
400,0,0.8,3.0,0.7454067202700001,3.7505164026499997
400,1,0.8,3.0,0.7202251819850001,3.8213889889000003
400,2,0.8,3.0,0.88952698128,2.90633114675
400,0,0.8,6.0,0.7864687718600001,8.23892919355
400,1,0.8,6.0,0.800946745655,7.400850329900001
400,2,0.8,6.0,0.792973140545,7.70953393985
